success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,plugin_version,time_elapsed,random_id,participant_id,condition_name,participant,rt,stimulus,response,phase,trial_number,species_key,human_n,species_n,optionA_label,optionB_label,swap,left_is,right_is,left_label,middle_label,right_label,choice_options,comparison_label,chosen_option,choice_kind,saved_human,saved_animal,human_chosen,task,question_order,file_name
TRUE,FALSE,[],[],[],preload,0,2.0.0,2216,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,1,2.0.0,20236,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,18019,Welcome to the experiment. Press any key to begin.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,survey-text,2,2.0.0,22892,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,2654,NA,"{""participant_id"":""lion""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
TRUE,NA,NA,NA,NA,fullscreen,3,2.0.0,81570,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,57674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,4,2.0.0,108932,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,27361,"<p>You will be asked you some moral questions in which you have to make
                choices. These questions can be hard to decide. There is no right or wrong
                answer - choose whatever you personally think is right. Please
                carefully consider each question.</p>
                <p>Press any key to begin.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,5,2.0.0,119716,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,10783,"
      <p>
        Imagine a situation involving two boats, one with humans and one with animals. Both of these boats are sinking.
        Unfortunately, the species on either of these boats are unable to swim. However, You can
        choose one boat to save. Once You chooses a boat, the people or animals on that boat will
        be safe, but the people or animals on the other boat will not survive.
      </p>

      <div style=""display: flex; justify-content: center; align-items: center; gap: 40px; margin-top: 30px;"">
        <img src=""stimuli/boat.png"" style=""width:150px;"">
        <img src=""stimuli/cant decide.png"" style=""width:150px;"">
        <img src=""stimuli/boat.png"" style=""width:150px;"">
      </div>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,6,2.0.0,123845,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,4127,"On one boat there is <b>10 people</b> and the other boat there is <b>100 cats</b>.
                 Will <b>You</b> save...",0,main_choice,0,cat,10,100,10 people,100 cats,FALSE,A,B,10 people,Can't decide,100 cats,"[""10 people"",""Can't decide"",""100 cats""]",10 people vs 100 cats,10 people,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,7,2.0.0,124346,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,8,2.0.0,127245,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,2897,"On one boat there is <b>100 people</b> and the other boat there is <b>1 clam</b>.
                 Will <b>You</b> save...",0,main_choice,1,clam,100,1,100 people,1 clam,FALSE,A,B,100 people,Can't decide,1 clam,"[""100 people"",""Can't decide"",""1 clam""]",100 people vs 1 clam,100 people,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,9,2.0.0,127747,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,10,2.0.0,137231,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,9482,"On one boat there is <b>100 people</b> and the other boat there is <b>1 dog</b>.
                 Will <b>You</b> save...",2,main_choice,2,dog,100,1,100 people,1 dog,TRUE,B,A,1 dog,Can't decide,100 people,"[""1 dog"",""Can't decide"",""100 people""]",100 people vs 1 dog,100 people,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,11,2.0.0,137733,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,12,2.0.0,139764,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,2030,"On one boat there is <b>1 person</b> and the other boat there is <b>100 pigs</b>.
                 Will <b>You</b> save...",0,main_choice,3,pig,1,100,1 person,100 pigs,FALSE,A,B,1 person,Can't decide,100 pigs,"[""1 person"",""Can't decide"",""100 pigs""]",1 person vs 100 pigs,1 person,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
