"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","condition_name","rt","stimulus","response","phase","trial_number","species_key","human_n","species_n","optionA_label","optionB_label","swap","left_is","right_is","left_label","middle_label","right_label","choice_options","comparison_label","chosen_option","choice_kind","saved_human","saved_animal","human_chosen","task","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","1407","pm08fz2px39","pm08fz2px39","You","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","3583","pm08fz2px39","pm08fz2px39","You","2174","Welcome to the experiment. Press any key to begin.","m","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","2.0.0","10424","pm08fz2px39","pm08fz2px39","You","5830","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","2.0.0","29189","pm08fz2px39","pm08fz2px39","You","18761","<p>You will be asked you some moral questions in which you have to make
                choices. These questions can be hard to decide. There is no right or wrong
                answer - choose whatever you personally think is right. Please
                carefully consider each question.</p>
                <p>Press any key to begin.</p>","m","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","43789","pm08fz2px39","pm08fz2px39","You","14597","
      <p>
        Imagine a situation involving two boats, one with humans and one with animals. Both of these boats are sinking.
        Unfortunately, the species on either of these boats are unable to swim. However, You can
        choose one boat to save. Once You chooses a boat, the people or animals on that boat will
        be safe, but the people or animals on the other boat will not survive.
      </p>

      <div style=""display: flex; justify-content: center; align-items: center; gap: 40px; margin-top: 30px;"">
        <img src=""stimuli/boat.png"" style=""width:150px;"">
        <img src=""stimuli/cant decide.png"" style=""width:150px;"">
        <img src=""stimuli/boat.png"" style=""width:150px;"">
      </div>
    ","m","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","2.0.0","62701","pm08fz2px39","pm08fz2px39","You","18908","On one boat there is <b>1 person</b> and the other boat there is <b>10 bunnies</b>.
                 Will <b>You</b> save...","2","main_choice","0","bunny","1","10","1 person","10 bunnies","true","B","A","10 bunnies","Can't decide","1 person","[""10 bunnies"",""Can't decide"",""1 person""]","1 person vs 10 bunnies","1 person","human","1","0","1","",""
"","","","","","html-keyboard-response","6","2.0.0","63212","pm08fz2px39","pm08fz2px39","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","7","2.0.0","69160","pm08fz2px39","pm08fz2px39","You","5946","On one boat there is <b>100 people</b> and the other boat there is <b>10 cats</b>.
                 Will <b>You</b> save...","0","main_choice","1","cat","100","10","100 people","10 cats","false","A","B","100 people","Can't decide","10 cats","[""100 people"",""Can't decide"",""10 cats""]","100 people vs 10 cats","100 people","human","1","0","1","",""
"","","","","","html-keyboard-response","8","2.0.0","69662","pm08fz2px39","pm08fz2px39","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","9","2.0.0","72297","pm08fz2px39","pm08fz2px39","You","2632","On one boat there is <b>10 people</b> and the other boat there is <b>1 pig</b>.
                 Will <b>You</b> save...","2","main_choice","2","pig","10","1","10 people","1 pig","true","B","A","1 pig","Can't decide","10 people","[""1 pig"",""Can't decide"",""10 people""]","10 people vs 1 pig","10 people","human","1","0","1","",""
"","","","","","html-keyboard-response","10","2.0.0","72805","pm08fz2px39","pm08fz2px39","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","11","2.0.0","75190","pm08fz2px39","pm08fz2px39","You","2383","On one boat there is <b>100 people</b> and the other boat there is <b>10 pigs</b>.
                 Will <b>You</b> save...","0","main_choice","3","pig","100","10","100 people","10 pigs","false","A","B","100 people","Can't decide","10 pigs","[""100 people"",""Can't decide"",""10 pigs""]","100 people vs 10 pigs","100 people","human","1","0","1","",""
"","","","","","html-keyboard-response","12","2.0.0","75705","pm08fz2px39","pm08fz2px39","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","13","2.0.0","77833","pm08fz2px39","pm08fz2px39","You","2127","On one boat there is <b>100 people</b> and the other boat there is <b>1 dog</b>.
                 Will <b>You</b> save...","2","main_choice","4","dog","100","1","100 people","1 dog","true","B","A","1 dog","Can't decide","100 people","[""1 dog"",""Can't decide"",""100 people""]","100 people vs 1 dog","100 people","human","1","0","1","",""
"","","","","","html-keyboard-response","14","2.0.0","78340","pm08fz2px39","pm08fz2px39","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","15","2.0.0","80093","pm08fz2px39","pm08fz2px39","You","1750","On one boat there is <b>10 people</b> and the other boat there is <b>1 bunny</b>.
                 Will <b>You</b> save...","2","main_choice","5","bunny","10","1","10 people","1 bunny","true","B","A","1 bunny","Can't decide","10 people","[""1 bunny"",""Can't decide"",""10 people""]","10 people vs 1 bunny","10 people","human","1","0","1","",""
"","","","","","html-keyboard-response","16","2.0.0","80599","pm08fz2px39","pm08fz2px39","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","17","2.0.0","87433","pm08fz2px39","pm08fz2px39","You","6830","On one boat there is <b>10 people</b> and the other boat there is <b>100 pigeons</b>.
                 Will <b>You</b> save...","0","main_choice","6","pigeon","10","100","10 people","100 pigeons","false","A","B","10 people","Can't decide","100 pigeons","[""10 people"",""Can't decide"",""100 pigeons""]","10 people vs 100 pigeons","10 people","human","1","0","1","",""
"","","","","","html-keyboard-response","18","2.0.0","87941","pm08fz2px39","pm08fz2px39","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","19","2.0.0","94147","pm08fz2px39","pm08fz2px39","You","6202","On one boat there is <b>1 person</b> and the other boat there is <b>100 clams</b>.
                 Will <b>You</b> save...","0","main_choice","7","clam","1","100","1 person","100 clams","false","A","B","1 person","Can't decide","100 clams","[""1 person"",""Can't decide"",""100 clams""]","1 person vs 100 clams","1 person","human","1","0","1","",""
